Title,Author,Publication_Date,Genres,Summary,image
The Shining,Stephen King,1977-01,"['Gothic fiction', 'Childrens literature', 'Horror', 'Speculative fiction', 'Fiction']"," In 1976, Jack Torrance is an aspiring writer who is attempting to rebuild his marriage and career, both of which have been nearly ruined by two traits inherited from his late father: alcoholism and an explosive temper. During one occasion while drinking, Jack broke his son's arm. This incident shocked him into sobriety, but Jack's temper continued to plague him: he lost his teaching position at a Vermont prep school after assaulting a student. Jack eagerly accepts a job as a winter care",<PIL.Image.Image image mode=RGB size=512x512 at 0x7901901371C0>
The Hound of the Baskervilles,Arthur Conan Doyle,1901,"['Crime Fiction', 'Mystery', 'Detective fiction', 'Novel']"," Sir Charles Baskerville is found lying dead on the grounds of his country house, Baskerton Hall. The cause is ascribed to a heart attack. Fearing for the safety of Sir Charles's nephew and only known heir, Sir Henry Baskervier, coming from America to claim his inheritance, Dr James Mortimer travels to London and asks Sherlock Holmes for help. Mortimer explains that the Basketerville family is afflicted by a curse. According to an old account,",<PIL.Image.Image image mode=RGB size=512x512 at 0x79018BAAE6E0>
The Hobbit,J. R. R. Tolkien,1937,"['Childrens literature', 'Juvenile fantasy', 'Adventure novel', 'Speculative fiction', 'Fantasy', 'Fiction']"," Gandalf tricks Bilbo into hosting a party for Thorin and his band of dwarves, who sing of reclaiming the Lonely Mountain and its vast treasure from the dragon Smaug. When the music ends, Gandalf unveils a map showing a secret door into the Mountain and proposes that the dumbfounded Bilbo serve as the expedition's ""burglar"". The dwarves ridicule the idea, but Bilbo, indignant, joins despite himself. The group travel into the wild, where Gand",<PIL.Image.Image image mode=RGB size=512x512 at 0x79018BAAFA60>
The Great Divorce,C. S. Lewis,1945,"['Speculative fiction', 'Fantasy', 'Religion']"," The narrator inexplicably finds himself in a grim and joyless city, the ""grey town"", which is either hell or purgatory depending on how long one stays there. He eventually finds a bus for those who desire an excursion to some other place (and which eventually turns out to be the foothills of heaven). He enters the bus and converses with his fellow passengers as they travel. When the bus reaches its destination, the passengers on the bus &mdash; including",<PIL.Image.Image image mode=RGB size=512x512 at 0x79018BAAE500>
The Screwtape Letters,C. S. Lewis,1942,"['Epistolary novel', 'Inspirational', 'Speculative fiction', 'Satire', 'Fantasy', 'Fiction', 'Humour']"," In The Screwtape Letters, C.S. Lewis provides a series of lessons in the importance of taking a deliberate role in living out Christian faith by portraying a typical human life, with all its temptations and failings, as seen from devils' viewpoints. Screwtapes holds an administrative post in the bureaucracy (""Lowerarchy"") of Hell, and acts as a mentor to Wormwood, the inexperienced tempter. In the body of the thirty-one letters which make up the book",<PIL.Image.Image image mode=RGB size=512x512 at 0x79018BAAE740>
The Pit and the Pendulum,Nancy Kilpatrick,1842,"['Horror', 'Speculative fiction', 'Short story']"," The story takes place during the Spanish Inquisition. At the beginning of the story an unnamed narrator is brought to trial before various sinister judges. Poe provides no explanation of why he is there or for what he has been arrested. Before him are seven tall white candles on a table, and, as they melt, his hopes of survival also diminish. He is condemned to death and finds himself in a pitch black compartment. At first the prisoner thinks that he is locked in a tomb, but he",<PIL.Image.Image image mode=RGB size=512x512 at 0x79018BAAE7A0>
The Hunt for Red October,Tom Clancy,1984,"['Novel', 'Technothriller', 'Childrens literature', 'Fiction', 'Suspense']"," Marko Alexandrovich Ramius, a Lithuanian submarine commander in the Soviet Navy, intends to defect to the United States with his officers on board the experimental nuclear submarine Red October, a Typhoon-class vessel equipped with a revolutionary stealth propulsion system, described as an arrangement of pump-jets nicknamed the ""Caterpillar Drive."" The system makes sonar detection extremely difficult. The result, immediately apparent to Jack Ryan and the Joint Chiefs of Staff, is a strategic weapon platform that",<PIL.Image.Image image mode=RGB size=512x512 at 0x79018BAAF3A0>
The Cardinal of the Kremlin,Tom Clancy,1988,"['Thriller', 'Fiction', 'Novel']"," CIA analyst Jack Ryan attends a diplomatic conference in Moscow as part of an American delegation to the Soviet Union. He learns that the CIA’s most highly-placed agent, codenamed ""CARDINAL"", is none other than Colonel Mikhail Semyonovich Filitov, the personal aide to the former Soviet Minister of Defense and a national war hero. FilitOV was recruited by GRU colonel and British agent Oleg Penkovskiy, and offered his services to",<PIL.Image.Image image mode=RGB size=512x512 at 0x79018BAAE650>
Tunnel in the Sky,Robert A. Heinlein,1955,"['Science Fiction', 'Speculative fiction', 'Childrens literature', 'Fiction']"," A Malthusian catastrophe on Earth has been averted by the invention of teleportation, called the ""Ramsbotham jump"", which is used to send Earth's excess population to colonize other planets. However, the costs of operating the device mean that the colonies are isolated from Earth until they can justify two-way travel. Because modern technology requires a supporting infrastructure, more primitive methods are employed — for example, horses instead of tractors (because tractors cannot reproduce themselves).",<PIL.Image.Image image mode=RGB size=512x512 at 0x79018BAAE830>
The Mismeasure of Man,Stephen Jay Gould,1981,"['Nonfiction', 'Science']"," The Mismeasure of Man is a critical analysis of the early works of scientific racism about the supposed, biologically inherited (genetic) basis for human intelligence, such as craniometry, the measurement of skull volume and its relation to intellectual faculties. Gould proposed that much of the research was based more upon the racial and social prejudices of the researchers than upon their scientific objectivity; that on occasion, researchers such as Samuel George Morton (1799–1851), Louis Agass",<PIL.Image.Image image mode=RGB size=512x512 at 0x79018BAAE6B0>
The Picture of Dorian Gray,Oscar Wilde,1890,"['Gothic fiction', 'Speculative fiction', 'Horror', 'Fiction']"," The novel begins on a beautiful summer day with Lord Henry Wotton, a strongly-opinionated man, observing the sensitive artist Basil Hallward painting the portrait of a handsome young man named Dorian Gray, who is Basil's ultimate muse. After hearing Lord Henry's world view, Dorian begins to think beauty is the only worthwhile aspect of life. He wishes that the portrait Basil painted would grow old in his place. Under the influence of Lord Henry (who relishes the he",<PIL.Image.Image image mode=RGB size=512x512 at 0x79018BAAD240>
The Sentinel,Arthur C. Clarke,1951,['Speculative fiction']," The story deals with the discovery of an artifact on Earth's Moon left behind eons ago by ancient aliens. The object is made of a polished mineral and tetrahedral in shape, and is surrounded by a spherical forcefield. The narrator speculates at one point that the mysterious aliens who left this structure on the Moon may have used mechanisms belonging ""to a technology that lies beyond our horizons, perhaps to the technology of para-physical forces."" The narrator notes that for millions of",<PIL.Image.Image image mode=RGB size=512x512 at 0x79018BAAD5D0>
The Fountains of Paradise,Arthur C. Clarke,1979,"['Science Fiction', 'Speculative fiction']"," In the 22nd century, Dr Vannevar Morgan is a famous structural engineer who hopes to develop the'space elevator' from a theoretical concept to reality and enlists the resources of his employers to carry out experiments. But the only suitable starting point (Earth station) for the elevator lies at the summit of a mountain in Taprobane occupied by an ancient order of Buddhist monks, who implacably oppose the plan. Morgan is approached by a Mars-based consortium to develop a",<PIL.Image.Image image mode=RGB size=512x512 at 0x79018BAAD600>
Lord of the Flies,William Golding,1954,"['Speculative fiction', 'Young adult literature', 'Fiction', 'Novel']"," In the midst of a wartime evacuation, a British plane crashes onto an isolated island in a remote region of the Pacific Ocean. The only survivors are male children below the age of thirteen. Two boys, the fair-haired Ralph and an overweight, bespectacled boy reluctantly nicknamed ""Piggy"" find a conch, which Ralph uses as a horn to bring all the survivors to one area. Ralph emerges as one of the survivors' leaders during the meeting, as does Jack",<PIL.Image.Image image mode=RGB size=512x512 at 0x79018BAADE40>
Through the Looking-Glass,Lewis Carroll,1871,['Childrens literature']," Alice is playing with a white kitten (whom she calls ""Snowdrop"") and a black kitten (whoom she called ""Kitty"")—the offspring of Dinah, Alice's cat in Alice's Adventures in Wonderland—when she ponders what the world is like on the other side of a mirror's reflection. Climbing up on the fireplace mantel, she pokes at the wall-hung mirror behind the fireplace and discovers, to her surprise, that she is able",<PIL.Image.Image image mode=RGB size=512x512 at 0x79018BAAD4E0>
Waiting for Godot,Samuel Beckett,1952,"['Poetry', 'Drama', 'Fiction', 'Absurdist fiction', 'Play']"," Waiting for Godot follows a pair of men who divert themselves while waiting expectantly, vainly for someone named Godot to arrive. They claim he's an acquaintance but in fact hardly know him, admitting that they would not recognize him when they do see him. To occupy the time they eat, sleep, converse, argue, sing, play games, exercise, swap hats, and contemplate suicide – anything ""to hold the terrible silence at bay"". The play opens with Estr",<PIL.Image.Image image mode=RGB size=512x512 at 0x79018BAAD300>
The Wanderer,Fritz Leiber,1964,"['Science Fiction', 'Speculative fiction', 'Fantasy', 'Fiction', 'Novel']"," The novel is set in a future a few decades ahead of the 1960s, when it was written. The USA is still competing with the Soviet Union. Both have functioning bases on the Moon, and the Soviets have gained the lead in sending an expedition to Mars. From the point of view of most of the population of the Earth, a new planet appears out of nothing close to the Moon. Over a period of few days the planet appears to consume the Moon and the Earth. On",<PIL.Image.Image image mode=RGB size=512x512 at 0x79018BAAD420>
2010: Odyssey Two,Arthur C. Clarke,1982-01,"['Science Fiction', 'Speculative fiction']"," The story is set nine years after the failure of the Discovery One mission to Jupiter. A joint Soviet-American crew, including Heywood Floyd from 2001, on the Soviet spaceship Alexei Leonov (named after the famous cosmonaut) arrives to discover what went wrong with the earlier mission, to investigate the monolith in orbit around the planet, and to resolve the disappearance of David Bowman. They hypothesize that much of this information is locked away on the now-abandoned",<PIL.Image.Image image mode=RGB size=512x512 at 0x79018BAADF00>
Aeneid,Virgil,1943,"['Fantasy', 'Fiction', 'Poetry']"," The Aeneid can be divided into two halves based on the disparate subject matter of Books 1–6 (Aeneas' journey to Latium in Italy) and Books 7–12 (the war in Latium). These two halves are commonly regarded as reflecting Virgil's ambition to rival Homer by treating both the Odyssey's wandering theme and the Iliads warfare themes. This is, however, a rough correspondence, the limitations of which should be borne in mind. Virgil",<PIL.Image.Image image mode=RGB size=512x512 at 0x79018BAAD1E0>
Paradise Lost,John Milton,1667,['Poetry']," The poem is separated into twelve ""books"" or sections, and the lengths of each book varies greatly (the longest being Book IX, with 1,189 lines, and of the shortest Book VII, having 640). The Arguments at the head of the book were added in subsequent imprints of the first edition. Originally published in ten books, in 1674 a fully ""Revised and Augmented"" edition with a new division into twelve books was issued. This is the edition that",<PIL.Image.Image image mode=RGB size=512x512 at 0x79018BAAD510>
The Invisible Man,H. G. Wells,1897,"['Albino bias', 'Science Fiction', 'Childrens literature', 'Horror', 'Novel', 'Speculative fiction', 'Science', 'Fiction', 'Scientific romance']"," A mysterious stranger, Griffin, arrives at the local inn of the English village of Iping, West Sussex, during a snowstorm. The stranger wears a long-sleeved, thick coat and gloves, his face hidden entirely by bandages except for a fake pink nose, large goggles and a wide-brimmed hat. He is excessively reclusive, irascible, and unfriendly. He demands to be left alone and spends most of his time in his rooms",<PIL.Image.Image image mode=RGB size=512x512 at 0x79018BAACF10>
Twenty Thousand Leagues Under the Sea,Emanuel J Mickel,1869,"['Science Fiction', 'Childrens literature', 'Novel', 'Adventure novel', 'Fiction', 'Scientific romance']"," As the story begins in 1866, a mysterious sea monster, theorized by some to be a giant narwhal, is sighted by ships of several nations; an ocean liner is also damaged by the creature. The United States government finally assembles an expedition in New York City to track down and destroy the menace. Professor Pierre Aronnax, a noted French marine biologist and narrator of the story, who happens to be in New New York at the time and is a",<PIL.Image.Image image mode=RGB size=512x512 at 0x79018BAAEBF0>
Keep the Aspidistra Flying,George Orwell,1936,['Novel']," Gordon Comstock has 'declared war' on what he sees as an 'overarching dependence' on money by leaving a promising job as a copywriter for an advertising company called 'New Albion'—at which he shows great dexterity—and taking a low-paying job instead, ostensibly so he can write poetry. Coming from a respectable family background in which the inherited wealth has now become dissipated, Gordon resents having to work for a living. The 'war' (and",<PIL.Image.Image image mode=RGB size=512x512 at 0x79018BAAE860>
